revision	round	side	workload	batch_index	latency_ns
V1	1	1	plain_scroll	64	1425220
V1	1	1	plain_scroll	65	1442120
V1	1	1	plain_scroll	66	1433029
V1	1	1	plain_scroll	67	1429658
V1	1	1	plain_scroll	68	1423233
V1	1	1	plain_scroll	69	1428070
V1	1	1	plain_scroll	70	1438258
V1	1	1	plain_scroll	71	1446154
V1	1	1	plain_scroll	72	1429058
V1	1	1	plain_scroll	73	1421475
V1	1	1	plain_scroll	74	1423654
V1	1	1	plain_scroll	75	1422620
V1	1	1	plain_scroll	76	1420475
V1	1	1	plain_scroll	77	1416220
V1	1	1	plain_scroll	78	1426225
V1	1	1	plain_scroll	79	1420479
V1	1	1	plain_scroll	80	1429029
V1	1	1	plain_scroll	81	1423162
V1	1	1	plain_scroll	82	1425475
V1	1	1	plain_scroll	83	1427804
V1	1	1	plain_scroll	84	1413779
V1	1	1	plain_scroll	85	1419775
V1	1	1	plain_scroll	86	1418883
V1	1	1	plain_scroll	87	1415437
V1	1	1	plain_scroll	88	1405470
V1	1	1	plain_scroll	89	1407895
V1	1	1	plain_scroll	90	1408950
V1	1	1	plain_scroll	91	1414529
V1	1	1	plain_scroll	92	1406525
V1	1	1	plain_scroll	93	1405720
V1	1	1	plain_scroll	94	1403070
V1	1	1	plain_scroll	95	1400095
V1	1	1	plain_scroll	96	1395341
V1	1	1	plain_scroll	97	1427020
V1	1	1	plain_scroll	98	1428820
V1	1	1	plain_scroll	99	1432866
V1	1	1	plain_scroll	100	1441920
V1	1	1	sparse_edit	1	99166
V1	1	1	sparse_edit	2	99720
V1	1	1	sparse_edit	3	99670
V1	1	1	sparse_edit	4	100250
V1	1	1	sparse_edit	5	99320
V1	1	1	sparse_edit	6	101008
V1	1	1	sparse_edit	7	99312
V1	1	1	sparse_edit	8	100537
V1	1	1	sparse_edit	9	99433
V1	1	1	sparse_edit	10	99045
V1	1	1	sparse_edit	11	100070
V1	1	1	sparse_edit	12	99987
V1	1	1	sparse_edit	13	99720
V1	1	1	sparse_edit	14	100025
V1	1	1	sparse_edit	15	100145
V1	1	1	sparse_edit	16	99691
V1	1	1	sparse_edit	17	100279
V1	1	1	sparse_edit	18	99462
V1	1	1	sparse_edit	19	100429
V1	1	1	sparse_edit	20	99670
V1	1	1	sparse_edit	21	100645
V1	1	1	sparse_edit	22	100404
V1	1	1	sparse_edit	23	101525
V1	1	1	sparse_edit	24	100066
V1	1	1	sparse_edit	25	101850
V1	1	1	sparse_edit	26	101500
V1	1	1	sparse_edit	27	100987
V1	1	1	sparse_edit	28	100937
V1	1	1	sparse_edit	29	100904
V1	1	1	sparse_edit	30	101716
V1	1	1	sparse_edit	31	100945
V1	1	1	sparse_edit	32	99554
V1	1	1	sparse_edit	33	99775
V1	1	1	sparse_edit	34	100537
V1	1	1	sparse_edit	35	99970
V1	1	1	sparse_edit	36	99408
V1	1	1	sparse_edit	37	99762
V1	1	1	sparse_edit	38	99075
V1	1	1	sparse_edit	39	98987
V1	1	1	sparse_edit	40	99008
V1	1	1	sparse_edit	41	99525
V1	1	1	sparse_edit	42	99087
V1	1	1	sparse_edit	43	99695
V1	1	1	sparse_edit	44	101000
V1	1	1	sparse_edit	45	101362
V1	1	1	sparse_edit	46	101241
V1	1	1	sparse_edit	47	100895
V1	1	1	sparse_edit	48	99779
V1	1	1	sparse_edit	49	99383
V1	1	1	sparse_edit	50	99200
