revision	count	stack_root_to_leaf
master	101	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::raw_vec::RawVecInner$LT$A$GT$::reserve;alloc::raw_vec::RawVecInner$LT$A$GT$::grow_amortized;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc
master	97	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;DYLD-STUB$$free
master	95	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvMNtNtCsitGFVNq7Ifu_4core3fmt2rtNtB2_8Argument3fmt;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;xzm_malloc_zone_size
master	90	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;<deduplicated_symbol>
master	82	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_xzm_free
master	81	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;_xzm_free;_platform_memset
master	77	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvMNtNtCsitGFVNq7Ifu_4core3fmt2rtNtB2_8Argument3fmt;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc
master	75	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::vec::Vec$LT$T$C$A$GT$::push_mut;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedCscEX5ZwinSox_3std;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc;_xzm_free
master	73	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_$LT$core..iter..adapters..map..Map$LT$I$C$F$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::fold;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15dealloc_nonnull;_xzm_free
master	71	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvNtCsitGFVNq7Ifu_4core3fmt5write;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc;_xzm_free
master	70	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;unicode_width::tables::str_width;core::iter::traits::double_ended::DoubleEndedIterator::rfold
master	67	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvNtCsitGFVNq7Ifu_4core3fmt5write;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc
master	67	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::raw_vec::RawVecInner$LT$A$GT$::reserve;alloc::raw_vec::RawVecInner$LT$A$GT$::grow_amortized;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc;_xzm_free
